  0.0000000000000000E+00   0.9999999939225290E-08   0.9999999939225290E-08   0.2000000000000000E+01   0.9999999939225290E-08   0.9999999939225290E-08   0.9999999939225290E-08   0.9999999939225290E-08   0.2000000000000000E+01   0.9999999939225290E-08   0.5000000000000000E+00   0.1000000014901161E+00   0.9999999939225290E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.1645440477712053E-22   0.1002468096739075E-07   0.9999999939228447E-08   0.1999999999884475E+01   0.1001131172122067E-07   0.9999788352898259E-08   0.9993640178616173E-08   0.1061262255411204E-07   0.1999999999373804E+01   0.1011778620368731E-07   0.4999999997205312E+00   0.1000000017335921E+00   0.9239958010324839E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.3392618909765537E-22   0.1004884825399412E-07   0.9999999939231799E-08   0.1999999999771355E+01   0.1002402052546518E-07   0.9999563689041875E-08   0.9988081203073033E-08   0.1119751534352068E-07   0.1999999998769231E+01   0.1023787774468912E-07   0.4999999994170081E+00   0.1000000020002391E+00   0.8503656564609700E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.5102923701586138E-22   0.1007064937769720E-07   0.9999999939235081E-08   0.1999999999669310E+01   0.1003708625090537E-07   0.9999343771533060E-08   0.9983774509155132E-08   0.1171045159281776E-07   0.1999999998232380E+01   0.1035077176406793E-07   0.4999999991137443E+00   0.1000000022686360E+00   0.7847266140708482E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.6810425353573847E-22   0.1009074594606222E-07   0.9999999939238356E-08   0.1999999999575244E+01   0.1005068306389896E-07   0.9999124219287480E-08   0.9980542049554337E-08   0.1216903758930518E-07   0.1999999997745879E+01   0.1045915670597792E-07   0.4999999988054692E+00   0.1000000025432177E+00   0.7249834280553301E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.8499754313108231E-22   0.1010913212573218E-07   0.9999999939241597E-08   0.1999999999489183E+01   0.1006462143114813E-07   0.9998907008448696E-08   0.9978344804334938E-08   0.1257484297084492E-07   0.1999999997308968E+01   0.1056238464809538E-07   0.4999999984955528E+00   0.1000000028208096E+00   0.6710673655196419E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.1014988120001645E-21   0.1012577965232781E-07   0.9999999939244762E-08   0.1999999999411261E+01   0.1007865402701380E-07   0.9998694842696589E-08   0.9977116099224313E-08   0.1292931652010937E-07   0.1999999996921179E+01   0.1065958953974265E-07   0.4999999981885292E+00   0.1000000030971531E+00   0.6229543796934075E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.1184194540282969E-21   0.1014162072153981E-07   0.9999999939248010E-08   0.1999999999337113E+01   0.1009342595391380E-07   0.9998477289511748E-08   0.9976755656644083E-08   0.1325359797359821E-07   0.1999999996560117E+01   0.1075574663700484E-07   0.4999999978696905E+00   0.1000000033853788E+00   0.5778852692651320E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.1353163537843230E-21   0.1015630502518547E-07   0.9999999939251251E-08   0.1999999999268380E+01   0.1010852155581831E-07   0.9998260046311339E-08   0.9977264223725392E-08   0.1354133268325523E-07   0.1999999996233362E+01   0.1084840455837817E-07   0.4999999975476137E+00   0.1000000036776757E+00   0.5368171588989543E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
  0.1519386970397236E-21   0.1016974075088144E-07   0.9999999939254440E-08   0.1999999999205491E+01   0.1012367002353777E-07   0.9998046337685858E-08   0.9978573946182352E-08   0.1379234030614082E-07   0.1999999995942050E+01   0.1093644853186390E-07   0.4999999972275056E+00   0.1000000039691996E+00   0.4999226076745877E-08   0.1300000000000000E+05   0.2000000000000000E+06   0.9999999939225290E-08   0.9999999939225290E-08
